Сигнал;Время;Класс;Инструмент;Операция;Ордер;Кол-во;Цена;Сумма;Комиссия ТС;Статус;Позиция
Short;16.01.2018 16:25:02;SPBFUT;SiH8;Sell;29035933294;1;56953;56953.00;0.80;Шорт;-1
Cover;16.01.2018 16:35:03;SPBFUT;SiH8;Buy;29036110921;1;56945;-56945.00;0.80;Завершена;0
Short;17.01.2018 11:40:01;SPBFUT;SiH8;Sell;29043646400;1;57052;57052.00;0.80;Шорт;-1
Cover;17.01.2018 12:52:10;SPBFUT;SiH8;Buy;29045525664;1;57052;-57052.00;0.80;Завершена;0
Buy;26.01.2018 12:25:02;SPBFUT;SiH8;Buy;29151795406;1;56172;-56172.00;0.79;Лонг;1
Sell;26.01.2018 12:39:12;SPBFUT;SiH8;Sell;29152173136;1;56186;56186.00;0.79;Завершена;0
Buy;26.01.2018 13:30:02;SPBFUT;SiH8;Buy;29153420443;1;56113;-56113.00;0.79;Лонг;1
Sell;26.01.2018 13:38:19;SPBFUT;SiH8;Sell;29153604430;1;56135;56135.00;0.79;Завершена;0
Short;26.01.2018 14:10:01;SPBFUT;SiH8;Sell;29154106671;1;56162;56162.00;0.79;Шорт;-1
Cover;26.01.2018 14:23:21;SPBFUT;SiH8;Buy;29154347270;1;56164;-56164.00;0.79;Завершена;0
Short;26.01.2018 18:25:02;SPBFUT;SiH8;Sell;29161713925;1;56460;56460.00;0.79;Шорт;-1
Cover;26.01.2018 18:30:05;SPBFUT;SiH8;Buy;29161919433;1;56522;-56522.00;0.79;Завершена;0
Buy;29.01.2018 11:30:01;SPBFUT;SiH8;Buy;29167583495;1;56669;-56669.00;0.79;Лонг;1
Sell;29.01.2018 12:00:02;SPBFUT;SiH8;Sell;29168261524;1;56607;56607.00;0.79;Завершена;0
Short;29.01.2018 12:45:02;SPBFUT;SiH8;Sell;29169187100;1;56587;56587.00;0.79;Шорт;-1
Cover;29.01.2018 13:10:03;SPBFUT;SiH8;Buy;29169666401;1;56609;-56609.00;0.79;Завершена;0
Short;29.01.2018 14:05:01;SPBFUT;SiH8;Sell;29170614684;1;56693;56693.00;0.79;Шорт;-1
Cover;29.01.2018 14:20:01;SPBFUT;SiH8;Buy;29170923923;1;56755;-56755.00;0.79;Завершена;0
Buy;29.01.2018 17:10:02;SPBFUT;SiH8;Buy;29174527329;1;56776;-56776.00;0.79;Лонг;1
Sell;29.01.2018 17:21:29;SPBFUT;SiH8;Sell;29174777871;1;56784;56784.00;0.79;Завершена;0
Short;29.01.2018 17:35:02;SPBFUT;SiH8;Sell;29175122961;1;56815;56815.00;0.79;Шорт;-1
Cover;29.01.2018 17:45:31;SPBFUT;SiH8;Buy;29175474237;1;56768;-56768.00;0.79;Завершена;0
Short;30.01.2018 12:35:02;SPBFUT;SiH8;Sell;29183993751;1;56577;56577.00;0.79;Шорт;-1
Cover;30.01.2018 12:48:27;SPBFUT;SiH8;Buy;29184362111;1;56519;-56519.00;0.79;Завершена;0
Short;30.01.2018 14:50:01;SPBFUT;SiH8;Sell;29187744881;1;56298;56298.00;0.79;Шорт;-1
Cover;30.01.2018 14:59:10;SPBFUT;SiH8;Buy;29187952487;1;56253;-56253.00;0.79;Завершена;0
Buy;30.01.2018 16:45:03;SPBFUT;SiH8;Buy;29190344435;1;56342;-56342.00;0.79;Лонг;1
Sell;30.01.2018 16:50:43;SPBFUT;SiH8;Sell;29190465750;1;56359;56359.00;0.79;Завершена;0
Buy;31.01.2018 12:40:01;SPBFUT;SiH8;Buy;29202052998;1;56492;-56492.00;0.79;Лонг;1
Sell;31.01.2018 13:35:01;SPBFUT;SiH8;Sell;29203293091;1;56519;56519.00;0.79;Завершена;0
Short;31.01.2018 13:45:01;SPBFUT;SiH8;Sell;29203479223;1;56592;56592.00;0.79;Шорт;-1
Cover;31.01.2018 14:55:01;SPBFUT;SiH8;Buy;29204757240;1;56551;-56551.00;0.79;Завершена;0
Short;31.01.2018 15:25:01;SPBFUT;SiH8;Sell;29205301409;1;56533;56533.00;0.79;Шорт;-1
Cover;31.01.2018 15:45:40;SPBFUT;SiH8;Buy;29205674600;1;56547;-56547.00;0.79;Завершена;0
Short;01.02.2018 12:00:04;SPBFUT;SiH8;Sell;29218033286;1;56497;56497.00;0.79;Шорт;-1
Cover;01.02.2018 12:08:52;SPBFUT;SiH8;Buy;29218315912;1;56448;-56448.00;0.79;Завершена;0
Short;01.02.2018 12:20:04;SPBFUT;SiH8;Sell;29218670740;1;56481;56481.00;0.79;Шорт;-1
Cover;01.02.2018 12:25:54;SPBFUT;SiH8;Buy;29218833514;1;56450;-56450.00;0.79;Завершена;0
Short;01.02.2018 13:45:03;SPBFUT;SiH8;Sell;29220457067;1;56538;56538.00;0.79;Шорт;-1
Cover;01.02.2018 14:05:03;SPBFUT;SiH8;Buy;29220864699;1;56578;-56578.00;0.79;Завершена;0
